Date,Product_Category,Units_Sold,Unit_Price,Marketing_Spend,Customers,Discount_Percent,Sales
2025-02-07,Sports,59,3447.97,4650.45,96,2.98,201879.99
2025-02-08,Furniture,13,473.04,1326.28,448,6.27,12674.34
2025-02-09,Sports,7,4270.91,2116.72,247,27.77,27587.18
2025-02-10,Electronics,35,2526.22,931.6,96,12.42,79306.21
2025-02-11,Furniture,44,2454.87,4963.92,127,11.86,100431.67
2025-02-12,Sports,40,3002.8,4649.6,173,9.4,115005.32
2025-02-13,Furniture,28,4140.94,2791.79,124,4.41,114593.25
2025-02-14,Clothing,99,1804.27,4241.76,408,14.64,159424.06
2025-02-15,Clothing,10,3422.28,2700.6,186,3.9,37519.92
2025-02-16,Sports,70,2872.09,3193.21,139,25.06,153539.9
2025-02-17,Furniture,88,1408.44,627.8,449,11.11,116437.4
2025-02-18,Electronics,96,4405.29,3825.3,374,11.24,382124.1
2025-02-19,Sports,79,4007.39,813.02,110,14.22,273572.88
2025-02-20,Clothing,8,3326.41,4165.12,187,13.32,29033.35
2025-02-21,Clothing,83,4267.85,3953.73,99,29.85,255298.32
2025-02-22,Sports,10,4349.74,3601.97,308,16.36,43701.55
2025-02-23,Furniture,98,3570.98,373.57,156,2.65,344217.86
2025-02-24,Clothing,55,4201.37,1655.02,162,18.21,194136.29
2025-02-25,Furniture,66,3517.61,1462.94,399,4.55,228046.49
2025-02-26,Clothing,61,3432.69,1928.65,303,0.93,212911.33
2025-02-27,Clothing,70,3131.2,620.69,167,29.12,156791.45
2025-02-28,Grocery,83,3788.31,4697.4,247,23.21,248055.88
2025-03-01,Clothing,79,877.17,2858.25,386,29.4,55118.79
2025-03-02,Electronics,12,4416.27,1666.52,414,14.34,51295.88
2025-03-03,Sports,30,4372.03,2105.51,100,15.97,114969.58
2025-03-04,Sports,55,243.31,2346.57,294,5.05,18226.13
2025-03-05,Furniture,49,4146.5,3082.85,452,7.41,195137.35
2025-03-06,Clothing,48,731.46,2675.26,475,25.16,35491.13
2025-03-07,Electronics,9,1742.08,4613.08,84,10.69,19656.4
2025-03-08,Furniture,74,3743.19,2585.42,351,24.8,215589.03
2025-03-09,Grocery,30,887.72,4962.36,459,21.27,28438.82
2025-03-10,Furniture,72,4108.04,4286.84,118,5.32,286837.59
2025-03-11,Furniture,23,4177.46,1200.85,398,15.22,86636.13
2025-03-12,Clothing,88,2586.59,4666.86,369,20.32,190307.0
2025-03-13,Grocery,24,131.29,758.56,470,7.05,11699.47
2025-03-14,Furniture,16,1506.49,4123.76,98,24.92,24727.5
2025-03-15,Electronics,51,3122.94,2026.99,454,16.34,139337.26
2025-03-16,Electronics,5,4907.81,4414.28,123,4.96,26884.82
2025-03-17,Sports,94,3195.89,4366.67,241,17.49,255686.99
2025-03-18,Grocery,18,1373.04,4068.44,310,29.99,24419.58
2025-03-19,Grocery,68,3206.63,3992.15,405,4.52,215747.78
2025-03-20,Sports,42,2745.93,1662.46,119,24.5,90452.63
2025-03-21,Furniture,41,3921.24,588.41,139,6.22,152746.74
2025-03-22,Grocery,15,624.21,2134.3,309,23.47,13282.38
2025-03-23,Electronics,81,3829.04,1032.92,175,22.04,244788.0
2025-03-24,Electronics,7,2752.21,3535.77,280,9.01,24440.66
2025-03-25,Clothing,37,4818.66,1861.28,344,9.77,165593.94
2025-03-26,Grocery,10,1775.17,4882.93,468,23.78,24477.15
2025-03-27,Furniture,54,3199.85,3276.67,178,13.84,154332.46
2025-03-28,Sports,14,4666.94,4147.91,329,21.92,58927.88
2025-03-29,Sports,9,602.3,836.12,362,4.44,9075.25
2025-03-30,Furniture,27,4692.42,4337.67,149,25.58,101244.44
2025-03-31,Clothing,14,3470.64,4629.23,375,21.33,46414.6
2025-04-01,Sports,48,432.4,2537.9,346,27.21,22018.08
2025-04-02,Grocery,6,1574.72,3110.01,231,3.97,14010.41
2025-04-03,Clothing,17,3570.04,3871.09,223,17.79,55927.57
2025-04-04,Grocery,44,430.02,1039.23,365,17.97,21029.31
2025-04-05,Electronics,6,2952.64,2612.32,413,10.6,20063.89
2025-04-06,Clothing,88,1794.83,2113.58,237,13.75,141344.91
2025-04-07,Sports,69,3142.49,902.6,106,1.14,218319.35
2025-04-08,Clothing,67,324.14,1964.17,80,22.38,19928.15
2025-04-09,Clothing,77,4370.53,527.23,133,16.48,282130.61
2025-04-10,Clothing,21,4870.1,323.9,201,1.73,103823.87
2025-04-11,Clothing,13,4847.5,848.8,85,20.42,52907.85
2025-04-12,Grocery,79,3773.29,4822.95,262,14.0,263872.15
2025-04-13,Electronics,19,737.42,2837.74,463,1.03,21618.73
2025-04-14,Furniture,28,3815.49,4835.95,457,29.09,84866.4
2025-04-15,Clothing,42,220.48,2275.99,413,28.47,13154.27
2025-04-16,Sports,39,208.41,1696.72,155,15.39,10792.25
2025-04-17,Clothing,98,1685.69,2629.48,463,2.81,166808.03
2025-04-18,Sports,99,2494.35,2309.66,391,22.64,197201.14
2025-04-19,Grocery,53,3875.0,707.19,269,14.76,180451.01
2025-04-20,Sports,73,3448.15,3275.97,440,9.07,238419.38
2025-04-21,Furniture,66,2284.92,1236.98,212,14.74,130631.54
2025-04-22,Electronics,64,1440.77,3174.02,488,15.67,85023.89
2025-04-23,Sports,54,4985.91,3320.97,269,16.88,229405.73
2025-04-24,Sports,82,2188.29,929.72,319,13.24,161146.32
2025-04-25,Electronics,79,2311.8,494.48,169,18.17,150044.04
2025-04-26,Furniture,13,901.76,3947.66,443,27.56,16911.37
2025-04-27,Clothing,38,3994.57,2407.04,385,10.87,141365.14
2025-04-28,Sports,80,3499.04,479.19,449,21.77,226081.24
2025-04-29,Electronics,39,1181.77,4975.36,231,26.83,38798.72
2025-04-30,Grocery,5,503.67,477.35,155,13.68,4508.26
2025-05-01,Electronics,44,3434.45,3536.17,266,13.3,136644.73
2025-05-02,Grocery,68,3307.1,4921.66,254,18.06,192724.09
2025-05-03,Furniture,26,1438.97,1348.06,119,17.74,33880.22
2025-05-04,Clothing,64,4759.23,882.8,93,24.2,232116.19
2025-05-05,Electronics,68,840.18,782.65,378,14.29,54983.55
2025-05-06,Sports,97,2218.44,1655.72,350,29.88,156026.05
2025-05-07,Furniture,76,4723.72,685.02,277,1.78,357483.82
2025-05-08,Electronics,15,2156.66,3522.37,233,0.1,37694.37
2025-05-09,Sports,18,3228.78,499.0,156,19.21,50279.43
2025-05-10,Electronics,64,2048.21,2645.23,133,8.95,123501.56
2025-05-11,Grocery,34,1443.65,4984.14,387,7.21,57436.94
2025-05-12,Electronics,39,4921.49,4107.06,299,9.36,180793.45
2025-05-13,Electronics,89,2105.74,3153.05,412,7.68,180867.01
2025-05-14,Electronics,41,4481.09,1670.02,490,0.92,188771.01
